id,ident,type,name,latitude_deg,longitude_deg
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.44710159,108.7519989
27206,ZMBH,medium_airport,Bayankhongor Airport,46.16329956,100.7040024
27207,ZMBU,medium_airport,Baruun Urt Airport,46.66030121,113.2850037
27208,ZMCD,medium_airport,Choibalsan Airport,48.13570023,114.6460037
27209,ZMDZ,medium_airport,Dalanzadgad Airport,43.59170151,104.4300003
27210,ZMKD,medium_airport,Khovd Airport,47.95410156,91.62819672
27211,ZMMN,medium_airport,Mörön Airport,49.66329956,100.098999
27212,ZMUB,medium_airport,Chinggis Khaan International Airport,47.8431015,106.7669983
27213,ZPJH,medium_airport,Xishuangbanna Gasa Airport,21.97389984,100.7600021
27214,ZPPP,large_airport,Kunming Changshui International Airport,25.1019444,102.9291667
27215,ZSAM,large_airport,Xiamen Gaoqi International Airport,24.54400063,118.1279984
27216,ZSCN,medium_airport,Nanchang Changbei International Airport,28.86499977,115.9000015
27217,ZSFZ,large_airport,Fuzhou Changle International Airport,25.93510056,119.663002
27218,ZSHC,large_airport,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981
27219,ZSJN,large_airport,Yaoqiang Airport,36.85720062,117.2160034
27220,ZSNB,large_airport,Ningbo Lishe International Airport,29.82670021,121.461998
27221,ZSNJ,large_airport,Nanjing Lukou Airport,31.74200058,118.8619995
27222,ZSOF,medium_airport,Hefei Luogang International Airport,31.78000069,117.2979965
27223,ZSPD,large_airport,Shanghai Pudong International Airport,31.14340019,121.8050003
27224,ZSQD,medium_airport,Liuting Airport,36.26610184,120.3740005
27225,ZSSS,large_airport,Shanghai Hongqiao International Airport,31.19790077,121.3359985
27226,ZSWH,medium_airport,Weihai Airport,37.18709946,122.2289963
27227,ZSYT,medium_airport,Yantai Laishan Airport,37.40169907,121.3720016
27228,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.71920013,106.6419983
27229,ZUGY,large_airport,Longdongbao Airport,26.53849983,106.8010025
27230,ZUUU,large_airport,Chengdu Shuangliu International Airport,30.57850075,103.9469986
27231,ZUXC,medium_airport,Xichang Qingshan Airport,27.9890995,102.1839981
27232,FV76,small_airport,Kwekwe East Airport,-19.01079941,30.02519989
27233,FV77,small_airport,Mhangura Airport,-16.910101,30.2423
27234,ZWSH,medium_airport,Kashgar Airport,39.54290009,76.01999664
27235,ZWTN,medium_airport,Hotan Airport,37.03850174,79.86489868
27236,ZWWW,large_airport,Ürümqi Diwopu International Airport,43.90710068,87.47419739
27237,ZYCC,medium_airport,Longjia Airport,43.99620056,125.6849976
27238,ZYHB,large_airport,Taiping Airport,45.62340164,126.25
27239,ZYJM,medium_airport,Jiamusi Airport,46.84339905,130.4649963
27240,ZYMD,medium_airport,Mudanjiang Hailang International Airport,44.52410126,129.5690002
27241,ZYQQ,medium_airport,Qiqihar Sanjiazi Airport,47.23960114,123.9179993
27242,ZYTL,large_airport,Zhoushuizi Airport,38.96569824,121.5390015
27243,ZYTX,large_airport,Taoxian Airport,41.63980103,123.4830017
27244,ZYYJ,medium_airport,Yanji Chaoyangchuan Airport,42.88280106,129.451004
27245,EFAA,small_airport,Aavahelukka Airport,67.60359955,23.97170067
27246,EFAH,small_airport,Ahmosuo Airport,64.89530182,25.75219917
27247,EFAL,small_airport,Alavus Airport,62.55469894,23.57329941
27248,EFFO,small_airport,Forssa Airport,60.80189896,23.64559937
27249,EFGE,small_airport,Genböle Airport,60.0868988,22.52190018
27250,EFHJ,small_airport,Haapajärvi Airport,63.71220016,25.39500046
27251,EFHP,small_airport,Haapavesi Airport,64.11309814,25.50419998
27252,EFHL,small_airport,Hailuoto Airport,64.96690369,24.70439911
27253,EFII,small_airport,Iisalmi Airport,63.63190079,27.12220001
27254,EFJM,small_airport,Jämijärvi Airport,61.77859879,22.71610069
27255,EFKN,small_airport,Kannus Airport,63.92060089,24.08670044
27256,EFRV,small_airport,Kiuruvesi Airport,63.70560074,26.61639977
27257,EFKV,small_airport,Kivijärvi Airport,63.12530136,25.12420082
27258,EFKH,small_airport,Kuhmo Airport,64.11250305,29.43860054
27259,EFKG,small_airport,Kumlinge Airport,60.24689865,20.80470085
27260,EFKY,small_airport,Kymi Airport,60.57139969,26.89609909
27261,EFKR,small_airport,Kärsämäki Airport,63.98920059,25.74360085
27262,EFLL,small_airport,Lapinlahti Airport,63.3993988,27.47890091
27263,EFMN,small_airport,Mäntsälä Airport,60.57249832,25.50889969
27264,EFOP,small_airport,Oripää Airport,60.87639999,22.74469948
27265,EFPK,small_airport,Pieksämäki Airport,62.26470184,27.00279999
27266,EFPA,small_airport,Pokka Airport,68.15022278,25.82937241
27267,EFPN,small_airport,Punkaharju Airport,61.72890091,29.39360046
27268,EFRU,small_airport,Ranua Airport,65.97309875,26.36529922
27269,EFRA,small_airport,Rautavaara Airport,63.42419815,28.12420082
27270,EFNS,small_airport,Savikko Airport,60.52000046,24.83169937
27271,EFVT,small_airport,Sulkaharju Airport,63.39780045,24.03059959
27272,EFSU,small_airport,Suomussalmi Airport,64.82189941,28.71030045
27273,EFTO,small_airport,Torbacka Airport,60.07920074,24.17219925
27274,EFVL,small_airport,Vaala Airport,64.50189972,26.76000023
27275,EFVP,small_airport,Vampula Airport,61.03969955,22.5916996
27276,EFWB,small_airport,Wredeby Airport,60.66360092,26.74580002
27277,FAAN,small_airport,Aliwal North Airport,-30.68000031,26.72999954
27278,FABW,small_airport,Beaufort West Airport,-32.29999924,22.67000008
27279,FABS,small_airport,Brits Airport,-25.53230095,27.77589989
27280,FACK,small_airport,Christiana Airport,-27.87770081,25.20179939
27281,FAEM,small_airport,Empangeni Airport,-28.71999931,31.88999939
27282,FAFK,small_airport,Fisantekraal Airport,-33.77,18.74
27283,FAGI,small_airport,Giyani Airport,-23.2833004,30.64999962
27284,FAHG,small_airport,Heidelburg Airport,-26.51000023,28.38999939
27285,FAHH,small_airport,Hibberdene Airport,-30.62999916,30.52000046
27286,ZA-0003,small_airport,Koppies Airport,-27.25,27.54999924
27287,FAKE,small_airport,Keimouth Airport,-32.70000076,28.35000038
27288,FAKT,small_airport,Kitty Hawk Airport,-25.86000061,28.45000076
27289,FANS,small_airport,Nelspruit Airport,-25.5,30.91379929
27290,FAPA,small_airport,Port Alfred Airport,-33.55419922,26.87770081
27291,FAPZ,small_airport,Progress Airport,-33.93000031,25.37000084
27292,FASJ,small_airport,Saffier Airport,-26.76000023,27.76000023
27294,FASR,small_airport,Standerton Airport,-26.92700005,29.20999908
27295,FASH,small_airport,Stellenbosch Airport,-33.97999954,18.81999969
27296,FATR,small_airport,Trennery's Airport,-32.6385994,28.42429924
27297,FAVP,small_airport,Vanderbijlpark Airport,-26.69029999,27.77709961
27298,FAWA,small_airport,Warmbaths Airport,-24.90999985,28.29999924
27299,FAWD,small_airport,Wolmeransstad Airport,-27.17000008,25.97999954
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729
27301,BCW,medium_airport,Benguera Island Airport,-21.85330009,35.43830109
27302,IBL,medium_airport,Indigo Bay Lodge Airport,-21.708,35.452801
27304,MZ-0005,small_airport,Paradise Island Airport,-21.61499977,35.33800125
27305,FBXG,small_airport,Xugana Airport,-19.04999924,23.09000015
27306,FBXB,small_airport,Xaxaba Airport,-19.55050087,23.05480003
27309,EICA,small_airport,Connemara Regional Airport,53.2303009,-9.467780113
27310,EIWT,medium_airport,Weston Airport,53.35219955,-6.48611021
27311,YABI,small_airport,Abingdon Downs Airport,-17.61669922,143.1670074
27312,YABS,small_airport,Albion Downs Airport,-27.2833004,120.3830032
27313,YACI,small_airport,Arcadia Airport,-25.20000076,148.6829987
27314,YACS,small_airport,Acacia Downs Airport,-31.41670036,141.8999939
27315,YADD,small_airport,Arubiddy Airport,-31.79999924,125.9329987
27316,YADG,small_airport,Aldinga Airport,-35.29000092,138.4900055
27317,YADO,small_airport,Andado Airport,-25.4116993,135.2899933
27318,YADY,small_airport,Adaminaby Airport,-35.98329926,148.8000031
27319,YAGD,small_airport,Augustus Downs Airport,-18.51499939,139.878006
27320,YAHD,small_airport,Ashburton Downs Airport,-23.38330078,117.0329971
27321,YALA,small_airport,Marla Airport,-27.33329964,133.6269989
27322,YALG,small_airport,Adels Grove Airport,-18.70000076,138.5330048
27323,YALX,small_airport,Alexandria Homestead Airport,-19.06019974,136.7100067
27324,YALY,small_airport,Alderley Airport,-22.48329926,139.6329956
27325,YAMC,small_airport,Aramac Airport,-22.9666996,145.2420044
27326,YAMK,small_airport,Andamooka Airport,-30.438299,137.136993
27327,YAML,small_airport,Armraynald Airport,-17.9666996,139.7669983
27328,YAMT,small_airport,Amata Airport,-26.10829926,131.2070007
27329,YAND,small_airport,Answer Downs Airport,-21.66670036,140.9830017
27330,YANK,small_airport,Anna Creek Airport,-28.89669991,136.1699982
27331,YANL,small_airport,Anthony Lagoon Airport,-18.01807903,135.5350685
27332,YANW,small_airport,Annitowa Airport,-21.20000076,136.447998
27333,YAOR,small_airport,Ardmore Airport,-21.64999962,139.1829987
27334,YAPA,small_airport,Anna Plains Airport,-19.26670074,121.5169983
27335,YAPO,small_airport,Apollo Bay Airport,-38.77493023,143.6611748
27336,YARD,small_airport,Argadargada Airport,-21.67670059,136.6779938
27337,YARI,small_airport,Arizona 1 Airport,-21.66670036,141.5670013
27338,YARK,small_airport,Arkaroola Airport,-30.40670013,139.345993
27339,YARL,small_airport,Ardlethan Airport,-34.36669922,146.8829956
27340,YARN,small_airport,Areyonga Airport,-24.06669998,132.2669983
27341,YARS,small_airport,Ardrossan Airport,-34.44718889,137.8882917
27342,YARY,small_airport,Arrabury Airport,-26.693023,141.047771
27343,YASF,small_airport,Ashford Airport,-29.31669998,151.0500031
27344,YATN,small_airport,Atherton Airport,-17.26169968,145.5149994
27345,YATR,small_airport,Amphitheatre Airport,-37.18330002,143.3999939
27346,YAUG,small_airport,Augusta Airport,-34.36669922,115.1500015
27347,YAUS,small_airport,Austral Downs Airport,-20.5,137.75
27348,YAUV,small_airport,Auvergne Airport,-15.69999981,130
27349,YAVD,small_airport,Avon Downs Airport,-20.0333004,137.5169983
27350,YAVM,small_airport,Avonmore Airport,-36.56669998,144.5500031
27351,YAWT,small_airport,Agnes Water Airport,-24.20224,151.8925
27352,YBAD,small_airport,Baradine Airport,-30.95499992,149.0919952
27353,YBAH,small_airport,Bauhinia Downs Airport,-16.13330078,135.4669952
27354,YBAL,small_airport,Balladonia Airport,-32.34999847,123.6179962
27355,YBAU,small_airport,Badu Island Airport,-10.14999962,142.1734
27356,YBAW,small_airport,Barkly Downs Airport,-20.49583333,138.4747222
27357,YBBA,small_airport,Barraba Airport,-30.38330078,150.6000061
27358,YBBL,small_airport,Billabalong Airport,-27.41670036,115.8330002
27359,YBBT,small_airport,Boort Airport,-36.13669968,143.727005
27360,YBCB,small_airport,Bencubbin Airport,-30.83329964,117.8669968
27361,YBCH,small_airport,Beechworth Airport,-36.39333333,146.6963889
27363,YBCR,small_airport,Batchelor Airport,-13.06669998,131.0330048
27365,YBDP,small_airport,Bridport Airport,-41.01670074,147.4170074
27366,YBDU,small_airport,Birrindudu Airport,-18.38330078,129.4830017
27367,YBEE,small_airport,Beverley Airport,-30.18670082,139.5579987
27368,YBEL,small_airport,Bothwell Airport,-42.36669922,147.0330048
27369,YBEO,small_airport,Betoota Airport,-25.64170074,140.7830048
27371,YBEU,small_airport,Beulah 1 Airport,-35.95000076,142.4170074
27372,YBEV,small_airport,Beverley Airport,-32.13330078,116.9499969
27373,YBFR,small_airport,Balfour Airport,-41.25903326,144.8860645
27374,YBGI,small_airport,Balgair Airport,-31.06669998,125.6669998
27375,YBGO,small_airport,Balgo Hill Airport,-20.1483,127.973
27376,YBGR,small_airport,Bridgewater Airport,-36.61669922,143.9499969
27377,YBGT,small_airport,Budgerygar Airport,-25.37000084,143.772995
27378,YBGY,small_airport,Biniguy Airport,-29.50499916,150.1920013
27379,YBHB,small_airport,Bathurst Harbour Airport,-43.42070007,146.1560059
27380,YBHK,small_airport,Bushy Park Airport,-21.26670074,139.7169952
27381,YBIA,small_airport,Bingara Airport,-29.79999924,150.5330048
27383,YBIN,small_airport,Biggenden Airport,-25.52499962,152.0500031
27384,YBIU,small_airport,Ballidu Airport,-30.59329987,116.7799988
27385,YBIZ,small_airport,Bizant Airport,-14.74027778,144.1194444
27386,YBJW,small_airport,Banjawarn Airport,-27.66670036,121.5999985
27388,YBLC,small_airport,Balcanoona Airport,-30.53499985,139.3370056
27389,YBLG,small_airport,Bollards Lagoon Airport,-28.98329926,140.8500061
27390,YBLH,small_airport,Bellalie Airport,-27.0333004,142.9499969
27391,YBLL,small_airport,Bollon Airport,-28.05830002,147.4830017
27392,YBLU,small_airport,Bellevue Airport,-27.61499977,120.6119995
27393,YBMD,small_airport,Bloomfield River Airport,-15.87360001,145.3300018
27394,YBMI,small_airport,Boomi Airport,-28.73329926,149.5829926
27396,YBMM,small_airport,Bamawm Airport,-36.25,144.6329956
27397,YBMY,small_airport,Bamyili Airport,-14.52000046,132.8829956
27398,YBNC,small_airport,Bannockburn Airport,-21.79999924,145.0829926
27399,YBNY,small_airport,Brunchilly Airport,-18.87000084,134.4620056
27400,YBOA,small_airport,Boonah Airport,-28.01670074,152.6820068
27401,YBOC,small_airport,Booleroo Centre Airport,-32.90499878,138.3600006
27402,YBOD,small_airport,Bodalla Airport,-26.29999924,143.3829956
27403,YBOG,small_airport,Boggabri Airport,-30.7166996,150.0500031
27405,YBOM,small_airport,Bombala Airport,-36.90499878,149.1820068
27406,YBOP,small_airport,Boyup Brook Airport,-33.90000153,116.4670029
27407,YBOR,small_airport,Bordertown Airport,-36.26499939,140.7120056
27408,YBOT,small_airport,Boatman Airport,-27.25,146.9170074
27409,YBPI,small_airport,Brampton Island Airport,-20.80330086,149.2700043
27410,YBRA,small_airport,Benambra Airport,-36.96686656,147.6991439
27411,YBRJ,small_airport,Burren Junction Airport,-30.1583004,148.9750061
